17,10047,14895,145752,145388
17,10047,14895,145752,145388
36,8232,17054,145701,147926
17,10371,29,135739,148635
178,12706,3770,147537,152784
886,3587,3281,141795,143221
2017,84,419,150291,149332
31,8510,7452,145301,148520
17,9373,9551,149378,145937
18,7220,12011,148118,145930
171,4628,2048,137896,145601
2362,11515,6848,152390,148229
22,8051,2994,148085,144670
17,2179,2061,143302,139938
101,11677,7401,143738,145182
2350,403,99,144049,152809
17,10748,1113,143743,150292
30,2487,12100,144086,143782
106,12450,8811,148080,148948
2288,5,6307,158380,149510
17,448,7197,147472,139340
826,5600,3675,153515,154545
17,322,5010,143556,141119
125,594,3446,142938,138998
46,14276,3923,141874,149410
914,12449,11734,144453,152463
17,6263,13859,145710,145307
103,4129,8230,142241,145049
2280,11286,6236,148769,145986
30,687,3694,146545,138726
17,5422,10329,150837,150283
19,1301,9405,154863,148779
17,9858,5327,151685,156103
30,2169,4802,143592,142143
29,12522,2485,142671,147013
17,0,1,134069,132121
1891,1029,1358,146279,147860
436,12011,4342,146598,147354
17,6212,3553,135999,142464
39,2040,14307,147543,148817
778,4715,9144,146147,140999
288,6894,13188,143936,145866
1019,8779,8561,146699,145149
17,5494,5068,144960,142179
308,10281,10871,149725,152308
127,7850,7445,144452,148842
1752,10655,2384,141996,147024
632,10198,69,138944,143680
1473,11556,12919,149860,149726
529,8113,7224,148170,143353
30,5551,1490,148259,150989
2173,0,2,151272,144263
168,600,106,142027,147308
245,1391,1,141855,154482
60,6407,1046,135378,141379
206,5228,3,137140,142725
66,11719,11854,148240,152245
17,129,44,138572,140338
765,12642,3097,148711,143026
939,8533,10264,146677,147713
2463,5362,147,140999,158292
211,870,1831,139541,143937
23,1,5,137700,143824
465,0,50,143520,139602
639,8606,12056,145485,150840
44,1881,574,140267,143178
24,5297,51,145833,143962
132,7467,8360,146408,143048
41,10448,10999,143771,145971
268,8780,9786,146643,141390
831,5174,8085,146588,151261
31,17490,10273,147906,152188
55,13924,14202,147857,150933
161,11598,2064,143120,144931
2288,5061,3789,160943,150989
34,829,4466,150811,150500
140,2032,119,134445,139933
711,502,1557,147707,144578
19,2,278,144521,139207
2167,1303,2582,141924,138812
24,118,10612,142918,141877
643,2548,8132,143901,146931
36,2611,2379,145645,145910
565,5673,3572,145578,141124
754,7024,4271,137610,147031
495,9275,6123,146860,149672
43,973,290,133230,142541
44,68,182,139884,142088
2516,5,184,153506,147470
52,11901,7356,145991,147324
1315,5784,5010,149484,150438
109,2955,4242,151642,149111
26,883,77,134683,144971
29,6922,6925,146626,143999
435,13053,12147,141357,146417
122,11309,8178,144582,146151
386,3069,2593,140083,142759
374,3468,7427,147277,149551
17,0,0,0,0
27,10339,7306,146748,147491
