iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,614,1080,8059,7996
300,614,1080,8059,7996
300,553,813,7862,8151
300,349,12,6876,8138
300,470,220,7325,7931
300,382,783,7729,7783
300,84,372,8033,8787
300,1053,1194,7651,8163
300,704,1155,8189,8266
300,369,60,7878,7646
300,19,160,7446,7862
300,664,227,8057,8152
300,184,66,6971,7086
300,222,429,8089,7580
300,352,154,7720,8151
300,91,5,7134,8581
300,80,267,7679,7614
300,595,693,7313,7740
300,141,119,7968,7799
300,4,59,9191,7758
300,366,506,7270,7563
300,61,173,8012,8450
300,8,39,7853,7224
300,2,3,7478,7002
300,254,20,6752,7684
300,678,116,7767,8517
300,628,1163,8404,8327
300,146,674,7050,8241
300,967,590,8746,8444
300,61,108,8015,7587
300,160,0,7000,8126
300,101,76,8174,7410
300,431,372,6887,8429
300,170,365,7545,6981
300,1461,1126,7434,8465
300,0,1,5954,6910
300,851,176,7409,8815
300,467,647,8325,9038
300,1,7,7496,7989
300,197,313,7303,7768
300,0,160,7822,7145
300,893,1058,8819,8642
300,66,20,7164,7713
300,5,150,8070,7467
300,227,753,7634,7952
300,196,0,6826,8080
300,630,89,7095,8599
300,469,69,7676,8248
300,1138,1038,7869,8314
300,261,766,8406,7825
300,124,202,7602,7633
300,0,2,8031,6705
300,50,106,8318,7559
300,17,1,6205,8099
300,297,84,6819,8030
300,21,3,7554,7294
300,259,55,7504,8369
300,129,44,7515,7990
300,811,450,8595,8319
300,441,492,8185,8824
300,17,144,7268,7499
300,13,130,7630,7963
300,1,5,6869,8351
300,0,50,7837,7198
300,431,360,7528,8857
300,255,12,6863,7927
300,12,46,8231,7656
300,567,1094,8491,7769
300,371,14,7336,8389
300,351,249,8664,7892
300,160,496,7723,8930
300,936,933,7703,8263
300,1271,908,8053,8677
300,131,40,7497,7636
300,0,1,7557,7521
300,138,39,7704,7963
300,231,5,7289,8263
300,346,415,8223,8289
300,2,75,7756,6817
300,173,68,7323,8549
300,118,242,7156,7179
300,215,798,8753,8861
300,1018,460,8516,8638
300,523,591,8748,8639
300,83,173,8273,7979
300,1211,126,7661,9158
300,295,290,6668,7000
300,11,12,7189,7350
300,5,155,8301,7097
300,875,839,7677,8079
300,842,718,8680,8832
300,392,1016,8701,7663
300,12,77,7708,8556
300,95,405,7942,6696
300,839,12,7928,8979
300,84,5,7104,7748
300,79,91,7913,8927
300,594,495,6477,7165
300,0,0,0,0
300,481,37,7818,7318
