Arquivo, Bits Diferentes, Taxa de Bits Diferentes
C1, 61, .47656250000000000000
C2, 69, .53906250000000000000
C3, 71, .55468750000000000000
C4, 62, .48437500000000000000
C5, 59, .46093750000000000000
C6, 68, .53125000000000000000
C7, 73, .57031250000000000000
C8, 67, .52343750000000000000
C9, 56, .43750000000000000000
C10, 66, .51562500000000000000
